bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
200057.0,Pioneer Days,2017.0,2,4,60,14,1558,7.34,1197,2.54,2388.0
276498.0,Paris: La Cité de la Lumière,2019.0,2,2,30,8,1336,7.54,1198,2.17,2985.0
94104.0,Omen: A Reign of War,2011.0,2,2,30,12,1467,7.38,1199,2.34,3095.0
148943.0,Coup: Rebellion G54,2014.0,3,6,15,14,2459,7.03,1200,1.93,6228.0
13780.0,In the Shadow of the Emperor,2004.0,2,4,90,12,2867,6.88,1201,3.42,3937.0
167270.0,Medina (Second Edition),2014.0,2,4,60,10,1657,7.25,1202,2.33,2516.0
24827.0,Traders of Osaka,2006.0,2,4,30,12,3214,6.83,1203,2.04,4658.0
172381.0,My Village,2015.0,2,4,90,12,2495,6.97,1204,3.1,4905.0
624.0,Quoridor,1997.0,2,4,15,8,6393,6.67,1205,1.88,9152.0
229491.0,Edge of Darkness,2019.0,1,4,120,14,1320,7.59,1206,3.41,2613.0
283393.0,Aquatica,2019.0,1,4,60,12,1370,7.42,1207,2.29,2311.0
7480.0,Sword of Rome,2004.0,2,5,360,12,1556,7.32,1208,3.32,2592.0
122294.0,Ascension: Immortal Heroes,2012.0,1,2,30,13,1513,7.36,1209,2.13,3043.0
156714.0,Doomtown: Reloaded,2014.0,2,4,30,12,2165,7.16,1210,3.59,5787.0
481.0,Carolus Magnus,2000.0,2,4,60,12,3406,6.82,1211,2.58,3875.0
21550.0,Blokus Trigon,2006.0,2,4,20,7,2915,6.91,1212,1.94,3788.0
195544.0,Tides of Madness,2016.0,2,2,20,10,3336,6.83,1213,1.54,7262.0
166571.0,Tramways,2016.0,1,5,120,14,1318,7.45,1214,3.82,2303.0
594.0,Sleuth,1971.0,3,7,45,10,2735,6.91,1215,2.47,4918.0
